uid,datetime,type,sub_type,suuid,level,value,sensor_status,x,y,z,data
671,2025-05-24 14:39:21,light,5,,3.0,180.97249,,180.97249,,,"{""type"":5,""axisX"":""180.97249"",""accuracy"":3,""timestamp"":506452356626599}"
668,2025-05-24 14:39:41,light,5,,3.0,5,,5,,,"{""type"":5,""axisX"":""5.0"",""accuracy"":3,""timestamp"":3679821410294477}"
676,2025-05-24 14:44:00,light,5,,3.0,175.9725,,175.9725,,,"{""type"":5,""axisX"":""175.9725"",""accuracy"":3,""timestamp"":142187564176128}"
687,2025-05-24 14:44:02,light,5,,3.0,298,,298,,,"{""type"":5,""axisX"":""298.0"",""accuracy"":3,""timestamp"":1284116179773342}"
678,2025-05-24 14:45:15,light,5,,3.0,66,,66,,,"{""type"":5,""axisX"":""66.0"",""accuracy"":3,""timestamp"":1114465391009005}"
670,2025-05-24 14:46:01,light,5,,3.0,94,,94,,,"{""type"":5,""axisX"":""94.0"",""accuracy"":3,""timestamp"":2878478449572412}"
685,2025-05-24 14:51:40,light,5,,3.0,376,,376,,,"{""type"":5,""axisX"":""376.0"",""accuracy"":3,""timestamp"":117467077372131}"
681,2025-05-24 14:52:54,light,5,,3.0,349,,349,,,"{""type"":5,""axisX"":""349.0"",""accuracy"":3,""timestamp"":361442257250499}"
668,2025-05-24 14:54:41,light,5,,3.0,5,,5,,,"{""type"":5,""axisX"":""5.0"",""accuracy"":3,""timestamp"":3680721416817957}"
687,2025-05-24 14:59:03,light,5,,3.0,454,,454,,,"{""type"":5,""axisX"":""454.0"",""accuracy"":3,""timestamp"":1285016215386180}"
676,2025-05-24 14:59:05,light,5,,3.0,174.015,,174.015,,,"{""type"":5,""axisX"":""174.015"",""accuracy"":3,""timestamp"":143093260181878}"
671,2025-05-24 15:00:00,light,5,,3.0,174.23,,174.23,,,"{""type"":5,""axisX"":""174.23"",""accuracy"":3,""timestamp"":507691198145216}"
678,2025-05-24 15:00:16,light,5,,3.0,69,,69,,,"{""type"":5,""axisX"":""69.0"",""accuracy"":3,""timestamp"":1115369804014852}"
670,2025-05-24 15:01:01,light,5,,3.0,94,,94,,,"{""type"":5,""axisX"":""94.0"",""accuracy"":3,""timestamp"":2879378465300430}"
