uid,date,acc_magnitude_mean,acc_magnitude_std,acc_magnitude_min,acc_magnitude_max,acc_x_mean,acc_x_std,acc_y_mean,acc_y_std,acc_z_mean,acc_z_std,acc_night_energy,acc_night_movement_changes,acc_night_significant_movements,acc_longest_uninterrupted_sleep_duration,acc_night_wake_up_count,acc_rest_duration,call_duration_sum,call_count,incoming_call_count,late_call_duration,late_call_count,last_call_to_sleep,calls_night_missed_or_rejected_count,light_mean,light_std,light_max,light_min,light_night_high_exposure,light_night_low_proportion,light_night_mean,light_night_std,light_night_sudden_spikes_count,light_avg_pre_sleep_intensity,screen_on_sum,screen_event_count,screen_pre_sleep_sum,screen_night_activations,screen_night_day_ratio,screen_last_use_to_sleep,screen_activations_after_midnight,distance_sum,distance_mean,loc_night_away_from_home,loc_pre_sleep_speed,loc_unique_count,wifi_level_mean,wifi_level_std,wifi_night_signal_mean,wifi_unique_count,wifi_night_changes,wifi_night_home_time,pre_sleep_activity_score,night_disturbances
668,2025-04-27,9.839522951280417,0.16074321800745048,9.397736826677821,10.54984517128182,1.1947280246071428,2.4875166556481956,1.2132563780357142,3.2604220060534956,8.108562619642857,3.4478909761069088,757.9698739301948,0.0,0.0,1.75,0.0,2.0,18.0,2.0,2.0,9.0,1.0,0.85,0.0,13.196428571428571,17.94984896655339,104.0,0.0,8.0,0.25,8.375,7.30826342476202,0.0,17.833333333333332,77.0,153.0,17.0,6.0,0.07792207792327542,0.3333333333333333,0.0,213.99235994,3.8212921417857144,0.0,0.14173589236111112,1.0,-77.36893203883496,14.46549063442509,-75.03508771929825,39.0,57.0,5.0,18.17833333333325,6.0
668,2025-04-28,9.911520900101324,0.3203050067653071,9.52138566309027,11.994603391903913,0.12825674924210526,1.7804191798006541,1.4476256831999998,3.6407231380846308,8.359667041789473,3.1936113108644832,3448.581200396805,2.0,1.0,23.6,0.0,8.5,164.0,2.0,2.0,0.0,0.0,4.083333333333333,0.0,26.821052631578947,37.35766717492569,242.0,0.0,11.0,0.6857142857142857,7.485714285714286,16.346201984795464,0.0,49.833333333333336,89.0,178.0,12.0,16.0,0.2025316455706297,0.06666666666666667,8.0,420.876180463,4.837657246701149,0.0,0.7379885733564815,1.0,-77.59054054054054,16.108013864787264,-78.31021897810218,44.0,274.0,20.0,13.498333333333248,24.0
668,2025-04-29,9.879597653157711,0.09431309051458867,9.647500476722731,10.565650999068799,0.8429291172210526,2.1053413789152335,1.1605924214947367,3.073239553707172,8.649907328421053,2.660862862314669,3428.1784469393015,0.0,2.0,19.5,0.0,8.5,53.0,2.0,2.0,38.0,1.0,0.9166666666666666,0.0,18.54736842105263,29.336553489813596,144.0,0.0,11.0,0.7428571428571429,8.028571428571428,24.75109708119398,1.0,56.583333333333336,121.0,243.0,38.0,43.0,0.4631578947374072,0.06666666666666667,15.0,520.0285878779999,5.8430178413258425,0.0,0.019379508132716047,1.0,-78.31451612903226,15.631283263208182,-79.09540636042402,38.0,283.0,22.0,39.565833333333245,51.0
668,2025-04-30,9.872879746529643,0.16807798582753597,9.201271238382194,10.799573692607183,0.19578966772340428,1.5723708626842214,2.3653471101914896,3.9529217717379677,7.84904634319149,3.533896049310289,3422.09074062708,0.0,2.0,23.016666666666666,0.0,8.5,20.0,2.0,1.0,0.0,0.0,6.716666666666667,0.0,16.9468085106383,22.98310132889207,91.0,0.0,13.0,0.6857142857142857,9.857142857142858,21.5107946323302,0.0,42.25,130.0,259.0,22.0,37.0,0.3457943925239759,0.1,19.0,502.98829304,5.52734387956044,0.0,0.6086339914652777,1.0,-77.53652694610778,16.588315928191918,-79.1304347826087,45.0,322.0,22.0,23.422499999999914,45.0
668,2025-05-01,9.90850843300057,0.2012507171869202,9.449768185893587,11.050034637081872,0.6314476705384616,2.4851017444674612,0.9934383240576923,2.8210897665825243,8.729201684615385,2.6275383401578245,2762.719110348511,2.0,4.0,6.533333333333333,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403846153846153,30.46647763406278,178.0,0.0,5.0,0.8214285714285714,8.0,33.559234529741914,1.0,0.0,37.0,75.0,0.0,16.0,0.8888888888895061,10.333333333333334,16.0,133.48849392,3.1043835795348835,0.0,0.0,1.0,-78.38618925831202,16.243553784303995,-78.58590308370044,36.0,227.0,16.0,0.0,21.0
668,2025-05-13,9.842308226155344,0.4253608326904229,7.623882348185103,12.435244394873873,0.16887725563749995,1.2673193729298997,3.211780449725,3.8668766501735803,7.90132571625,2.83251503340306,2000.6395146215616,2.0,1.0,19.55,1.0,4.75,138.0,2.0,0.0,0.0,0.0,5.683333333333334,0.0,19.8375,26.063915474721327,102.0,0.0,8.0,0.65,12.2,22.196728066138604,0.0,14.083333333333334,91.0,182.0,16.0,18.0,0.23376623376722885,0.43333333333333335,3.0,366.47371806,4.952347541351352,1.0,0.0,2.0,-78.27941176470588,15.237437513730551,-77.39444444444445,50.0,180.0,13.0,17.140833333333244,23.0
668,2025-05-14,9.911260606780878,0.6131715070973168,8.875030549233283,15.49487307166217,0.20129998386458334,2.170936980269177,2.0394265110729166,4.4501237370787345,6.59916178125,5.184128998857957,3520.33140337242,0.0,1.0,6.516666666666667,0.0,8.75,46.0,3.0,3.0,0.0,0.0,4.2,0.0,155.64583333333334,1124.4707478273044,10979.0,0.0,9.0,0.7777777777777778,11.13888888888889,23.25529466935928,0.0,44.25,143.0,286.0,15.0,21.0,0.22340425531997507,0.016666666666666666,11.0,39023.927116319996,438.4710911946067,0.0,0.0,9.0,-77.76242095754291,14.374307647823594,-76.89208633093526,229.0,277.0,19.0,16.442499999999914,27.0
668,2025-05-15,9.789121588697792,0.4101435686001593,6.216829590872991,10.216811679496983,0.536650851631579,2.089222173746573,1.9370729801789475,3.650488829485288,8.217760210105263,2.643937440739546,3382.0654028329027,0.0,0.0,17.8,0.0,8.25,41.0,3.0,1.0,0.0,0.0,4.266666666666667,0.0,21.05263157894737,25.316031595948786,105.0,0.0,10.0,0.7428571428571429,10.17142857142857,22.042053008745263,0.0,45.083333333333336,141.0,281.0,19.0,35.0,0.3723404255325826,0.13333333333333333,20.0,567.3567234,6.597171202325581,2.0,0.0,3.0,-78.9419689119171,15.481174160275282,-78.46688741721854,53.0,301.0,20.0,20.450833333333247,43.0
668,2025-05-16,9.851761658450485,0.5217411177314708,7.070868723543429,12.510968410585827,0.07341907585416665,2.628725197303483,1.81815926840625,4.242847017140198,7.196412230833334,4.214225053348196,3490.2754391814806,2.0,2.0,19.566666666666666,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.208333333333332,36.881293694248356,293.0,0.0,10.0,0.75,8.0,21.86059729938124,1.0,23.916666666666668,97.0,194.0,21.0,27.0,0.3600000000008533,0.1,16.0,322.8628712,3.79838672,0.0,0.00036527631818181807,3.0,-77.98525469168901,15.798005047856273,-78.25795053003533,64.0,281.0,21.0,22.239166666666577,34.0
668,2025-05-17,9.872420787832521,0.08845598135907384,9.64024110154781,10.256402253115596,0.6621433022916666,2.8136360475424436,1.2992690226874999,3.6493213114943313,7.870676213333333,3.5377712165409285,3511.7222563633113,0.0,0.0,23.833333333333332,0.0,9.0,79.0,1.0,1.0,79.0,1.0,0.0,0.0,13.242105263157894,19.807969484406645,67.0,0.0,9.0,0.7777777777777778,4.722222222222222,11.137096598078003,0.0,13.333333333333334,83.0,166.0,14.0,24.0,0.3582089552248385,0.016666666666666666,9.0,23.50310141,0.2797988263095238,0.0,0.006298194583333333,1.0,-76.89395973154362,16.24909521132017,-76.91803278688525,42.0,244.0,19.0,15.133333333333248,29.0
