uid,datetime,type,sub_type,suuid,level,value,sensor_status,x,y,z,data
685,2025-05-27 01:10:19,accelerometer,1,,3.0,,,-0.513,0.73200005,-9.759001,"{""type"":1,""axisX"":""-0.513"",""axisY"":""0.73200005"",""axisZ"":""-9.759001"",""accuracy"":3,""timestamp"":327386499672130}"
678,2025-05-27 01:10:21,accelerometer,1,,3.0,,,0.78290397,0.5363012,9.7563715,"{""type"":1,""axisX"":""0.78290397"",""axisY"":""0.5363012"",""axisZ"":""9.7563715"",""accuracy"":3,""timestamp"":1324782326132372}"
670,2025-05-27 01:13:27,accelerometer,1,,3.0,,,-0.36152446,3.181894,9.143756,"{""type"":1,""axisX"":""-0.36152446"",""axisY"":""3.181894"",""axisZ"":""9.143756"",""accuracy"":3,""timestamp"":3088927295025730}"
687,2025-05-27 01:13:34,accelerometer,1,,3.0,,,-0.4333505,9.471462,-0.90261406,"{""type"":1,""axisX"":""-0.4333505"",""axisY"":""9.471462"",""axisZ"":""-0.90261406"",""accuracy"":3,""timestamp"":1494687333705218}"
671,2025-05-27 01:16:31,accelerometer,1,,3.0,,,0.5746084,0.11604396,9.764827,"{""type"":1,""axisX"":""0.5746084"",""axisY"":""0.11604396"",""axisZ"":""9.764827"",""accuracy"":3,""timestamp"":717487687941815}"
668,2025-05-27 01:19:04,accelerometer,1,,3.0,,,0.2705448,0.21308395,9.881169,"{""type"":1,""axisX"":""0.2705448"",""axisY"":""0.21308395"",""axisZ"":""9.881169"",""accuracy"":3,""timestamp"":3890943362125871}"
676,2025-05-27 01:19:08,accelerometer,1,,3.0,,,0.1052842,-0.0634098,9.895518,"{""type"":1,""axisX"":""0.1052842"",""axisY"":""-0.0634098"",""axisZ"":""9.895518"",""accuracy"":3,""timestamp"":118179380770477}"
681,2025-05-27 01:19:11,accelerometer,1,,3.0,,,-0.48405004,10.144951,-0.201,"{""type"":1,""axisX"":""-0.48405004"",""axisY"":""10.144951"",""axisZ"":""-0.201"",""accuracy"":3,""timestamp"":571818788541463}"
686,2025-05-27 01:22:46,accelerometer,1,,3.0,,,-0.088585466,0.272939,9.739912,"{""type"":1,""axisX"":""-0.088585466"",""axisY"":""0.272939"",""axisZ"":""9.739912"",""accuracy"":3,""timestamp"":142301184984188}"
685,2025-05-27 01:25:19,accelerometer,1,,3.0,,,-0.52005005,0.73995006,-9.73995,"{""type"":1,""axisX"":""-0.52005005"",""axisY"":""0.73995006"",""axisZ"":""-9.73995"",""accuracy"":3,""timestamp"":328286595209297}"
